city,country,lat,lon,temp,humidity,cloudiness,windspeed,hotel
mar del plata,AR,-38.0,-57.56,71.74,88,44,11.41,Hermitage Hotel
le port,RE,-20.94,55.29,71.35,83,40,8.05,Lodge Roche Tamarin & Spa Village Nature
vila velha,BR,-20.33,-40.29,78.06,83,20,6.93,Ibis sleep inn
georgetown,MY,5.41,100.34,78.4,94,20,3.36,Arte S Penang
nampula,MZ,-15.12,39.27,71.6,94,40,6.93,Hotel Paraíso
tema,GH,5.67,-0.02,80.6,94,33,6.93,Best Western Plus Accra Beach Hotel
porbandar,IN,21.64,69.61,71.74,81,0,12.53,Lords Inn Porbandar
matara,LK,5.95,80.54,74.25,90,6,4.27,The Spice House Hotel
bambous virieux,MU,-20.34,57.76,78.42,94,40,1.12,Four Seasons Resort Mauritius at Anahita
bowen,AU,-20.02,148.23,79.56,83,40,11.41,Bowen Holiday Park
keti bandar,PK,24.14,67.45,72.14,81,0,10.45,
lingao,CN,19.91,109.69,76.46,82,5,12.37,Country Garden Golden Beach Spring Hotel
mahebourg,MU,-20.41,57.7,78.49,94,40,1.12,Shandrani Beachcomber Resort & Spa
touros,BR,-5.2,-35.46,80.6,83,20,4.7,Siri Paraíso Hotel
maceio,BR,-9.67,-35.74,80.6,88,20,5.82,Jatiúca Hotel & Resort
denpasar,ID,-8.65,115.22,80.6,100,20,4.7,"The L Hotel Bali, Seminyak"
butterworth,MY,5.4,100.36,78.4,94,20,3.36,"Eastern & Oriental Hotel, Penang"
presidencia roque saenz pena,AR,-26.79,-60.44,73.15,82,26,4.36,Hotel Gualok
itaueira,BR,-7.6,-43.03,73.81,81,0,3.31,Hotel Pousada Luz
hambantota,LK,6.12,81.12,75.2,100,26,7.38,Shangri-La's Hambantota Golf Resort & Spa
keningau,MY,5.34,116.16,77.0,94,20,3.36,OYO 89577 Kristal Hotel
loandjili,CG,-4.76,11.86,84.2,89,40,6.93,Elaïs Hôtel
luanda,AO,-8.84,13.23,80.6,83,40,11.41,HOTEL FIESTA
grand gaube,MU,-20.01,57.66,78.3,94,40,1.12,Zilwa Attitude Hotel
souillac,MU,-20.52,57.52,78.44,94,40,1.12,L'Exil Lodges
mangaratiba,BR,-22.96,-44.04,73.36,83,6,0.94,Pousada e Restaurante Mirante Imperial
kuching,MY,1.55,110.33,78.42,94,20,1.01,Riverside Majestic Hotel - Astana Wing
berbera,SO,10.44,45.01,80.76,82,4,7.2,Damal Hotel
carutapera,BR,-1.2,-46.02,80.22,85,47,9.93,HOTEL R. SOARES
beloha,MG,-25.17,45.05,72.01,91,29,10.76,
morondava,MG,-20.28,44.28,77.18,84,23,1.28,LAGUNA-BEACH
prado,BR,-17.34,-39.22,76.95,86,18,11.23,Cahy Praia Hotel
bonthe,SL,7.53,-12.51,80.51,83,28,5.61,Bonthe Holiday Village
